0.33|0.69|1|0|0|1|1|-1|0.31|N
1|0.56|1|0|0|1|0.6|0|0.5|N
-1|0.5|1|0|0|1|0.8|-1|0.44|N
-1|0.53|1|0|0|1|0.8|-1|0.63|N
-1|0.78|1|0|1|1|1|1|0.25|N
-1|0.75|1|0|1|1|0.6|0|0.56|N
-1|0.72|1|1|1|1|0.8|-1|0.19|N
-1|0.53|1|1|0|1|0.8|-1|0.38|N
-1|1|1|0|1|1|0.6|0|0.25|N
-0.33|0.92|1|1|0|1|1|-1|0.63|N
-1|0.81|1|1|1|1|0.8|0|0.19|N
-0.33|0.92|1|0|0|1|0.6|-1|0.19|N
-0.33|0.86|1|1|1|1|1|-1|0.25|N
-0.33|0.78|1|0|0|1|1|1|0.06|O
-0.33|0.89|1|1|0|0|0.6|1|0.31|N
-0.33|0.75|1|1|1|0|0.6|1|0.25|N
-0.33|0.75|1|1|1|1|0.8|1|0.25|N
-0.33|0.83|1|1|1|0|1|-1|0.31|N
-0.33|0.81|1|1|1|0|1|1|0.38|N
-0.33|0.81|1|1|1|1|0.8|-1|0.38|N
0.33|0.78|1|0|0|0|1|1|0.06|N
0.33|0.75|1|1|0|0|0.8|-1|0.38|N
0.33|0.75|1|0|1|0|0.8|-1|0.44|O
1|0.58|1|0|0|0|0.6|1|0.5|N
-1|0.67|1|0|0|0|1|-1|0.5|N
-1|0.61|1|0|0|0|0.8|0|0.5|N
-1|0.67|1|1|1|0|1|-1|0.31|N
-1|0.64|1|0|1|0|1|0|0.19|N
-1|0.69|0|1|1|0|0.6|-1|0.19|N
